months,Contact Rate,Infected,Infection Rate,Infectivity,Population,Recovered,Recovery Rate,Recovery Time,Susceptible
41.7,100,0.00152101244248,3.52234480376e-16,0.2,2500,1000.99847899,0.000507004147495,3,2.89473700657e-11
41.8,100,0.00147031202773,3.40492916715e-16,0.2,2500,1000.99852969,0.000490104009245,3,2.89473348422e-11
41.9,100,0.00142130162681,3.2914276567e-16,0.2,2500,1000.9985787,0.000473767208937,3,2.89473007929e-11
42,100,0.00137392490592,3.18170978374e-16,0.2,2500,1000.99862608,0.000457974968639,3,2.89472678786e-11
42.1,100,0.00132812740905,3.07564941037e-16,0.2,2500,1000.99867187,0.000442709136351,3,2.89472360615e-11
42.2,100,0.00128385649542,2.97312460441e-16,0.2,2500,1000.99871614,0.000427952165139,3,2.89472053051e-11
42.3,100,0.0012410612789,2.87401749906e-16,0.2,2500,1000.99875894,0.000413687092968,3,2.89471755738e-11
42.4,100,0.00119969256961,2.77821415741e-16,0.2,2500,1000.99880031,0.000399897523202,3,2.89471468336e-11
42.5,100,0.00115970281729,2.68560444131e-16,0.2,2500,1000.9988403,0.000386567605762,3,2.89471190515e-11
42.6,100,0.00112104605671,2.59608188472e-16,0.2,2500,1000.99887895,0.000373682018904,3,2.89470921954e-11
42.7,100,0.00108367785482,2.50954357124e-16,0.2,2500,1000.99891632,0.000361225951607,3,2.89470662346e-11
42.8,100,0.00104755525966,2.42589001576e-16,0.2,2500,1000.99895244,0.000349185086553,3,2.89470411392e-11
42.9,100,0.001012636751,2.34502504999e-16,0.2,2500,1000.99898736,0.000337545583668,3,2.89470168803e-11
43,100,0.000978882192637,2.26685571192e-16,0.2,2500,1000.99902112,0.000326294064212,3,2.894699343e-11
43.1,100,0.000946252786216,2.19129213885e-16,0.2,2500,1000.99905375,0.000315417595405,3,2.89469707615e-11
43.2,100,0.000914711026676,2.11824746403e-16,0.2,2500,1000.99908529,0.000304903675559,3,2.89469488486e-11
43.3,100,0.00088422065912,2.04763771683e-16,0.2,2500,1000.99911578,0.000294740219707,3,2.89469276661e-11
43.4,100,0.000854746637149,1.9793817261e-16,0.2,2500,1000.99914525,0.000284915545716,3,2.89469071897e-11
43.5,100,0.000826255082578,1.91340102685e-16,0.2,2500,1000.99917374,0.000275418360859,3,2.89468873959e-11
43.6,100,0.000798713246492,1.84961977002e-16,0.2,2500,1000.99920129,0.000266237748831,3,2.89468682619e-11
43.7,100,0.000772089471609,1.78796463523e-16,0.2,2500,1000.99922791,0.000257363157203,3,2.89468497657e-11
43.8,100,0.000746353155888,1.72836474649e-16,0.2,2500,1000.99925365,0.000248784385296,3,2.8946831886e-11
43.9,100,0.000721474717359,1.6707515907e-16,0.2,2500,1000.99927853,0.000240491572453,3,2.89468146024e-11
44,100,0.000697425560114,1.61505893883e-16,0.2,2500,1000.99930257,0.000232475186705,3,2.89467978949e-11
44.1,100,0.000674178041443,1.5612227698e-16,0.2,2500,1000.99932582,0.000224726013814,3,2.89467817443e-11
44.2,100,0.000651705440062,1.50918119684e-16,0.2,2500,1000.99934829,0.000217235146687,3,2.89467661321e-11
44.3,100,0.000629981925393,1.45887439634e-16,0.2,2500,1000.99937002,0.000209993975131,3,2.89467510402e-11
44.4,100,0.00060898252788,1.41024453905e-16,0.2,2500,1000.99939102,0.00020299417596,3,2.89467364515e-11
44.5,100,0.000588683110284,1.3632357236e-16,0.2,2500,1000.99941132,0.000196227703428,3,2.89467223491e-11
44.6,100,0.000569060339941,1.3177939122e-16,0.2,2500,1000.99943094,0.00018968677998,3,2.89467087167e-11
44.7,100,0.000550091661943,1.27386686853e-16,0.2,2500,1000.99944991,0.000183363887314,3,2.89466955388e-11
44.8,100,0.000531755273212,1.23140409767e-16,0.2,2500,1000.99946824,0.000177251757737,3,2.89466828001e-11
44.9,100,0.000514030097438,1.19035678804e-16,0.2,2500,1000.99948597,0.000171343365813,3,2.89466704861e-11
45,100,0.000496895760857,1.15067775525e-16,0.2,2500,1000.9995031,0.000165631920286,3,2.89466585825e-11
45.1,100,0.000480332568828,1.11232138791e-16,0.2,2500,1000.99951967,0.000160110856276,3,2.89466470757e-11
45.2,100,0.000464321483201,1.07524359513e-16,0.2,2500,1000.99953568,0.000154773827734,3,2.89466359525e-11
